addr	type	name	size
0x2026a8	FUNC	ASP_PrepareForShutdown...2Fhome.2Fmal.2Fgm_release.2FMY22.2D026.2Ffinal.2Fiot.2Frtos.2Flibs.2Fgm.2Di35.2Frel.2Fwork.2Flibkernel.2Flibkernel.2F86_x64.	13
0x2026b5	FUNC	ASP_Shutdown	34
0x2026d7	FUNC	ASP_Reset	34
0x2026f9	FUNC	ASP_UnlockForSchedulerFromCallback	12
0x202705	FUNC	ASP_PhysicalSafeRead	51
0x202738	FUNC	ASP_SetupSeparateHashTable	10
0x202742	FUNC	ASP_RestoreHashTable	10
0x20274c	FUNC	ASP_GetCurrentCpu	12
0x202758	FUNC	ASP_MonotonicIncrement64	23
0x20276f	FUNC	ASP_MonotonicDecrement64	26
0x202789	FUNC	ASP_BeginCriticalSection	44
0x2027b5	FUNC	ASP_EndCriticalSection	138
0x20283f	FUNC	ASP_PrepareForAPBoot	82
0x202891	FUNC	ASP_GetAPBootAddress	6
0x2028a0	FUNC	CpuGetSP	6
0x2028b0	FUNC	CpuGetLR	6
0x2028c0	FUNC	CpuGetFP	4
0x2028d0	FUNC	CpuSetTR	7
0x2028e0	FUNC	CpuXGETBV	13
0x2028f0	FUNC	CpuXSETBV	16
0x202900	FUNC	CpuXSAVE	15
0x202910	FUNC	CpuInvalidateTLBEntry	4
0x202920	FUNC	CpuLIDT	21
0x202940	FUNC	CpuLGDT	21
0x202960	FUNC	CpuFlushCachesInRange	23
0x202980	FUNC	CpuWBINVD	3
0x202990	FUNC	INTERRUPT_TestAndSetAcquireLock	20
0x2029a4	FUNC	ASP_RamOffsetFromPhysAddr	65
0x2029e5	FUNC	GetEarliestGuestAlarm...2Fhome.2Fmal.2Fgm_release.2FMY22.2D026.2Ffinal.2Fiot.2Frtos.2Flibs.2Fgm.2Di35.2Frel.2Fwork.2Flibkernel.2Flibkernel.2F86_x64_vmx.	111
0x202a54	FUNC	PendVMCallback...2Fhome.2Fmal.2Fgm_release.2FMY22.2D026.2Ffinal.2Fiot.2Frtos.2Flibs.2Fgm.2Di35.2Frel.2Fwork.2Flibkernel.2Flibkernel.2F86_x64_vmx.	257
0x202b55	FUNC	VMX_SendIpi...2Fhome.2Fmal.2Fgm_release.2FMY22.2D026.2Ffinal.2Fiot.2Frtos.2Flibs.2Fgm.2Di35.2Frel.2Fwork.2Flibkernel.2Flibkernel.2F86_x64_vmx.	53
0x202b8a	FUNC	VmxSendIpiCallback...2Fhome.2Fmal.2Fgm_release.2FMY22.2D026.2Ffinal.2Fiot.2Frtos.2Flibs.2Fgm.2Di35.2Frel.2Fwork.2Flibkernel.2Flibkernel.2F86_x64_vmx.	82
0x202bdc	FUNC	ASP_VMX_VMTasksAreAllHalted...2Fhome.2Fmal.2Fgm_release.2FMY22.2D026.2Ffinal.2Fiot.2Frtos.2Flibs.2Fgm.2Di35.2Frel.2Fwork.2Flibkernel.2Flibkernel.2F86_x64_vmx.	67
