entry,name,size,reasons
000a9282,FUN_000a9282,3198,"ldstr:[SS_SWC] cal_startup_delay_wait_timeout_msec (%d"
000aa03a,FUN_000aa03a,110,"callee_of:000aa0a8"
000aa0a8,FUN_000aa0a8,1502,"ldstr:[SS_SWC] cal_startup_delay_wait_timeout_msec (%d"
000aac1e,FUN_000aac1e,30,"ldstr:[SS_SWC] cal_startup_delay_wait_timeout_msec (%d"
000aad1e,FUN_000aad1e,28,"ldstr:[SS_SWC] cal_startup_delay_wait_timeout_msec (%d"
000ac32a,FUN_000ac32a,848,"ldstr:[SS_SWC] cal_startup_delay_wait_timeout_msec (%d"
000ada1c,FUN_000ada1c,2390,"callee_of:0005ffcc"
000ae378,FUN_000ae378,52,"callee_of:0005ffcc"
000af112,FUN_000af112,380,"ldstr:[SS_SWC] cal_startup_fault_timeout_sec (%d) read"
000afc6a,FUN_000afc6a,420,"caller_of:0008fa54"
000b7ade,FUN_000b7ade,54,"callee_of:000b7c8e"
000b7b14,FUN_000b7b14,16,"callee_of:000b7c8e"
000b7bae,FUN_000b7bae,16,"callee_of:000b7c8e"
000b7c48,FUN_000b7c48,70,"callee_of:000b7c8e"
000b7c8e,FUN_000b7c8e,2664,"ldstr:[SS_SWC] cal_local_valet_timeout_sec (%d) read e"
000c099c,FUN_000c099c,106,"ldstr:[SS_SWC] cal_local_valet_timeout_sec (%d) read o"
000d5580,FUN_000d5580,62,"callee_of:0005ffcc"
000e06be,FUN_000e06be,50,"ldstr:[SS_SWC] cal_offmode_active_timeout_sec (%d) rea"
000e1206,FUN_000e1206,70,"caller_of:000e06be"
000e86a6,FUN_000e86a6,50,"callee_of:000aa0a8"
000ec8dc,thunk_FUN_000ee012,4,"callee_of:0008b836 | callee_of:0008fa54"
000ec8e8,thunk_FUN_000ee032,4,"callee_of:0008b836 | callee_of:0008fa54"
000ecd84,FUN_000ecd84,40,"callee_of:000a6560"
000ecdac,FUN_000ecdac,40,"callee_of:000a6560"
